Size: 100x100 | Avg time: 0.0011 sec | Accuracy: 100%
Size: 200x200 | Avg time: 0.0078 sec | Accuracy: 100%
Size: 300x300 | Avg time: 0.0302 sec | Accuracy: 100%
Size: 400x400 | Avg time: 0.1016 sec | Accuracy: 100%
Size: 500x500 | Avg time: 0.18 sec | Accuracy: 100%
Size: 600x600 | Avg time: 0.2732 sec | Accuracy: 100%
Size: 700x700 | Avg time: 0.4418 sec | Accuracy: 100%
Size: 800x800 | Avg time: 0.7081 sec | Accuracy: 100%
Size: 900x900 | Avg time: 0.9999 sec | Accuracy: 100%
Size: 1000x1000 | Avg time: 1.4022 sec | Accuracy: 100%
Size: 1100x1100 | Avg time: 1.8386 sec | Accuracy: 100%
Size: 1200x1200 | Avg time: 2.4717 sec | Accuracy: 100%
Size: 1300x1300 | Avg time: 3.3519 sec | Accuracy: 100%
Size: 1400x1400 | Avg time: 4.0853 sec | Accuracy: 100%
Size: 1500x1500 | Avg time: 5.0003 sec | Accuracy: 100%
